
 PEER Ground Motion Database, Time Series Search Report -- NGA-West2 -- 2021-03-29


 -- Summary of PEER Ground Motion Database Search Criteria --
Magnitude Min:, -1.0e-06
Magnitude Max:, 99999
Rrup Min (km):, -1.0e-06
Rrup Max (km):, 99999
Rjb Min (km):, -1.0e-06
Rjb Max (km):, 99999
Vs30 Min (m/sec):, -1.0e-06
Vs30 Max (m/sec):, 99999
D9-95 Min (sec):, -1.0e-06
D9-95 Max (sec):, 99999
Scale Factor Min:, -1.0e-06
Scale Factor Max:, 99999
Period Array:, 
Weight Array:, 
Record Sequence Number:, 1263,1262,1261,1260,1259,1258,1256,1247,1245,1243,1240,1239,1237,1236,1235,1234,1233,1232,1230,1228,1227,1219,1215,1214,1213,1212,1211,1210,1209,1208,1207,1206,1204,1200,1199,1196,1195,1190,1189,1187,1186,1094,1091,1088,1087,1083,1082,1080,1077,1076,1074,1072,1070,1062,1057,1053,1049,1048,1042,1041,1039,1035,1034,1033,1032,1031,1026,1024,1020,1019,1018,1017,1016,1015,1007,1006,1005,1003,1001,999,998,997,996,995,993,992,991,990,989,988,987,985,984,981,978,976,975,974,971
Earthquake Name:, 
Station Name:, 
User-Defined Maximum Number of Records:, 
Pulse:, 1
Damping Ratio:, 0.05
Scaling Method:, No Scaling
Suite Average:, Arithmetic
Single-Period-Scaling Period (sec):, 
Component:, SRSS
Fault Type:, All Types


 -- Summary of Metadata of Selected Records --
Result ID, Spectral Ordinate, Record Sequence Number, Mean Squared Error, Scale Factor, Tp-Pulse Period (sec), 5-75% Duration (sec), 5-95% Duration (sec), Arias Intensity (m/sec), Earthquake Name, Year, Station Name, Magnitude, Mechanism, Rjb (km), Rrup (km), Vs30 (m/sec), Lowest Useable Frequency (Hz), Initial-search Scale Factor, Horizontal-1 Acc. Filename, Horizontal-2 Acc. Filename, Vertical Acc. Filename
25, SRSS, 1007, -, 1.0, -, 6.6, 12.3, 1.4, "Northridge-01", 1994, "Los Angeles - 7-story Univ Hospital (FF)", 6.69, Reverse, 32.39, 34.2, 332.28, 0.2, 1.0, RSN1007_NORTHR_UNI005.AT2, RSN1007_NORTHR_UNI095.AT2 , RSN1007_NORTHR_UNI-UP.AT2  
26, SRSS, 1015, -, 1.0, -, 13.6, 25.8, 0.2, "Northridge-01", 1994, "LB - Rancho Los Cerritos", 6.69, Reverse, 47.79, 51.89, 302.73, 0.16, 1.0, RSN1015_NORTHR_LBR000.AT2, RSN1015_NORTHR_LBR090.AT2 , RSN1015_NORTHR_LBR-UP.AT2  
27, SRSS, 1016, -, 1.0, -, 6.0, 11.0, 0.5, "Northridge-01", 1994, "La Crescenta - New York", 6.69, Reverse, 17.81, 18.5, 411.55, 0.375, 1.0, RSN1016_NORTHR_NYA090.AT2, RSN1016_NORTHR_NYA180.AT2 , RSN1016_NORTHR_NYA-UP.AT2  
28, SRSS, 1017, -, 1.0, -, 5.9, 14.4, 0.2, "Northridge-01", 1994, "La Habra - Briarcliff", 6.69, Reverse, 58.32, 59.62, 338.27, 0.25, 1.0, RSN1017_NORTHR_BRC000.AT2, RSN1017_NORTHR_BRC090.AT2 , RSN1017_NORTHR_BRC-UP.AT2  
29, SRSS, 1018, -, 1.0, -, 7.0, 13.8, 0.2, "Northridge-01", 1994, "La Puente - Rimgrove Av", 6.69, Reverse, 56.36, 56.59, 339.52, 0.5, 1.0, RSN1018_NORTHR_RIM015.AT2, RSN1018_NORTHR_RIM105.AT2 , RSN1018_NORTHR_RIM-UP.AT2  
30, SRSS, 1019, -, 1.0, -, 8.4, 16.0, 0.2, "Northridge-01", 1994, "Lake Hughes #1", 6.69, Reverse, 35.46, 35.81, 425.34, 0.12, 1.0, RSN1019_NORTHR_L01000.AT2, RSN1019_NORTHR_L01090.AT2 , RSN1019_NORTHR_L01-UP.AT2  
31, SRSS, 1020, -, 1.0, -, 5.4, 9.8, 0.5, "Northridge-01", 1994, "Lake Hughes #12A", 6.69, Reverse, 20.77, 21.36, 602.1, 0.12, 1.0, RSN1020_NORTHR_H12090.AT2, RSN1020_NORTHR_H12180.AT2 , RSN1020_NORTHR_H12-UP.AT2  
32, SRSS, 1024, -, 1.0, -, 11.2, 21.2, 0.4, "Northridge-01", 1994, "Lakewood - Del Amo Blvd", 6.69, Reverse, 53.56, 56.91, 267.35, 0.1625, 1.0, RSN1024_NORTHR_DEL000.AT2, RSN1024_NORTHR_DEL090.AT2 , RSN1024_NORTHR_DEL-UP.AT2  
33, SRSS, 1026, -, 1.0, -, 14.4, 23.3, 0.2, "Northridge-01", 1994, "Lawndale - Osage Ave", 6.69, Reverse, 34.31, 39.91, 311.86, 0.1625, 1.0, RSN1026_NORTHR_LOA092.AT2, RSN1026_NORTHR_LOA182.AT2 , RSN1026_NORTHR_LOA-UP.AT2  
34, SRSS, 1031, -, 1.0, -, 7.2, 16.0, 0.3, "Northridge-01", 1994, "Leona Valley #5 - Ritter", 6.69, Reverse, 37.47, 37.8, 375.22, 0.2, 1.0, RSN1031_NORTHR_LV5000.AT2, RSN1031_NORTHR_LV5090.AT2 , RSN1031_NORTHR_LV5-UP.AT2  
35, SRSS, 1032, -, 1.0, -, 5.1, 11.6, 0.3, "Northridge-01", 1994, "Leona Valley #6", 6.69, Reverse, 37.7, 38.03, 327.44, 0.2, 1.0, RSN1032_NORTHR_LV6090.AT2, RSN1032_NORTHR_LV6360.AT2 , RSN1032_NORTHR_LV6-UP.AT2  
36, SRSS, 1033, -, 1.0, -, 9.7, 17.6, 0.1, "Northridge-01", 1994, "Littlerock - Brainard Can", 6.69, Reverse, 46.31, 46.58, 485.67, 0.2, 1.0, RSN1033_NORTHR_LIT090.AT2, RSN1033_NORTHR_LIT180.AT2 , RSN1033_NORTHR_LIT-UP.AT2  
37, SRSS, 1034, -, 1.0, -, 8.5, 17.6, 0.2, "Northridge-01", 1994, "Malibu - Point Dume Sch", 6.69, Reverse, 26.77, 33.67, 349.54, 0.3, 1.0, RSN1034_NORTHR_MAL090.AT2, RSN1034_NORTHR_MAL360.AT2 , RSN1034_NORTHR_MAL-UP.AT2  
38, SRSS, 1035, -, 1.0, -, 9.1, 20.4, 0.2, "Northridge-01", 1994, "Manhattan Beach - Manhattan", 6.69, Reverse, 33.56, 39.29, 351.57, 0.1625, 1.0, RSN1035_NORTHR_MAN000.AT2, RSN1035_NORTHR_MAN090.AT2 , RSN1035_NORTHR_MAN-UP.AT2  
39, SRSS, 1039, -, 1.0, -, 7.7, 16.1, 0.9, "Northridge-01", 1994, "Moorpark - Fire Sta", 6.69, Reverse, 16.92, 24.76, 341.58, 0.16, 1.0, RSN1039_NORTHR_MRP090.AT2, RSN1039_NORTHR_MRP180.AT2 , RSN1039_NORTHR_MRP-UP.AT2  
40, SRSS, 1041, -, 1.0, -, 6.8, 10.8, 0.3, "Northridge-01", 1994, "Mt Wilson - CIT Seis Sta", 6.69, Reverse, 35.53, 35.88, 680.37, 0.5, 1.0, RSN1041_NORTHR_MTW000.AT2, RSN1041_NORTHR_MTW090.AT2 , RSN1041_NORTHR_MTW-UP.AT2  
41, SRSS, 1042, -, 1.0, -, 7.0, 16.0, 1.2, "Northridge-01", 1994, "N Hollywood - Coldwater Can", 6.69, Reverse, 7.89, 12.51, 326.47, 0.125, 1.0, RSN1042_NORTHR_CWC180.AT2, RSN1042_NORTHR_CWC270.AT2 , RSN1042_NORTHR_CWC-UP.AT2  
