
 PEER Ground Motion Database, Time Series Search Report -- NGA-West2 -- 2021-03-29


 -- Summary of PEER Ground Motion Database Search Criteria --
Magnitude Min:, -1.0e-06
Magnitude Max:, 99999
Rrup Min (km):, -1.0e-06
Rrup Max (km):, 99999
Rjb Min (km):, -1.0e-06
Rjb Max (km):, 99999
Vs30 Min (m/sec):, -1.0e-06
Vs30 Max (m/sec):, 99999
D9-95 Min (sec):, -1.0e-06
D9-95 Max (sec):, 99999
Scale Factor Min:, -1.0e-06
Scale Factor Max:, 99999
Period Array:, 
Weight Array:, 
Record Sequence Number:, 1605,1588,1586,1582,1581,1575,1574,1557,1554,1553,1552,1544,1543,1542,1539,1538,1526,1525,1524,1523,1521,1518,1517,1514,1513,1512,1509,1508,1507,1487,1485,1484,1481,1479,1478,1477,1476,1475,1472,1471,1380,1350,1347,1304,1303,1302,1301,1300,1297,1296,1295,1294,1293,1291,1290,1289,1288,1287,1286,1285,1284,1283,1282,1281,1280,1279,1278,1277,1276,1275,1274,1271,1270,1269,1268,1267,1266,1265,1264,1263,1262,1261,1260,1259,1258,1256,1247,1245,1243,1240,1239,1237,1236,1235,1234,1233,1232,1230,1228,1227,1219,1215,1214,1213,1212,1211,1210,1209,1208,1207,1206,1204,1200,1199,1196,1195,1190,1189,1187,1186,1094,1091,1088,1087,1083,1082,1080,1077,1076,1074,1072,1070,1062,1057,1053,1049,1048,1042,1041,1039,1035,1034,1033,1032,1031,1026,1024,1020,1019,1018,1017,1016,1015,1007,1006,1005,1003,1001,999,998,997,996,995,993,992,991,990,989,988,987,985,984,981,978,976,975,974,971,970,968,967,966,965,964,963,962,961,960,959,957,956,954,953,952,951,950,948,945,942,718,705,704,703,701,700,699,698,697,696,695,694,692,691,690,688,683,673,672,671,670,667,666,665,664,663,661,656,655,654,650,649,648,646,645,641,640,639,638,637,636,635,634,633,632,629,628,627,626,625,624,622,621,620,618,617,616,614,613,612,611,608,607,605,604,602,599,598,597,596,594,593,592,591,590,589,546,545,544,543
Earthquake Name:, 
Station Name:, 
User-Defined Maximum Number of Records:, 
Pulse:, 1
Damping Ratio:, 0.05
Scaling Method:, No Scaling
Suite Average:, Arithmetic
Single-Period-Scaling Period (sec):, 
Component:, SRSS
Fault Type:, All Types


 -- Summary of Metadata of Selected Records --
Result ID, Spectral Ordinate, Record Sequence Number, Mean Squared Error, Scale Factor, Tp-Pulse Period (sec), 5-75% Duration (sec), 5-95% Duration (sec), Arias Intensity (m/sec), Earthquake Name, Year, Station Name, Magnitude, Mechanism, Rjb (km), Rrup (km), Vs30 (m/sec), Lowest Useable Frequency (Hz), Initial-search Scale Factor, Horizontal-1 Acc. Filename, Horizontal-2 Acc. Filename, Vertical Acc. Filename
43, SRSS, 639, -, 1.0, -, 3.1, 8.0, 1.3, "Whittier Narrows-01", 1987, "LA - Obregon Park", 5.99, Reverse Oblique, 4.5, 15.18, 349.43, 0.2875, 1.0, RSN639_WHITTIER.A_A-OBR270.AT2, RSN639_WHITTIER.A_A-OBR360.AT2 , RSN639_WHITTIER.A_A-OBR-UP.AT2  
44, SRSS, 640, -, 1.0, -, 4.0, 11.0, 0.4, "Whittier Narrows-01", 1987, "LA - S Grand Ave", 5.99, Reverse Oblique, 14.46, 20.48, 285.28, 0.2, 1.0, RSN640_WHITTIER.A_A-GR2090.AT2, RSN640_WHITTIER.A_A-GR2180.AT2 , RSN640_WHITTIER.A_A-GR2-UP.AT2  
45, SRSS, 641, -, 1.0, -, 3.7, 12.0, 0.1, "Whittier Narrows-01", 1987, "LA - Saturn St", 5.99, Reverse Oblique, 20.35, 24.99, 308.71, 0.3, 1.0, RSN641_WHITTIER.A_A-STN020.AT2, RSN641_WHITTIER.A_A-STN110.AT2 , RSN641_WHITTIER.A_A-STN-UP.AT2  
46, SRSS, 645, -, 1.0, -, 5.6, 11.7, 0.6, "Whittier Narrows-01", 1987, "LB - Orange Ave", 5.99, Reverse Oblique, 19.8, 24.54, 344.72, 0.13, 1.0, RSN645_WHITTIER.A_A-OR2010.AT2, RSN645_WHITTIER.A_A-OR2280.AT2 , RSN645_WHITTIER.A_A-OR2-UP.AT2  
47, SRSS, 646, -, 1.0, -, 2.3, 10.6, 0.4, "Whittier Narrows-01", 1987, "LB - Rancho Los Cerritos", 5.99, Reverse Oblique, 24.61, 28.56, 302.73, 0.25, 1.0, RSN646_WHITTIER.A_A-LBR000.AT2, RSN646_WHITTIER.A_A-LBR090.AT2 , RSN646_WHITTIER.A_A-LBR-UP.AT2  
48, SRSS, 648, -, 1.0, -, 3.1, 5.9, 0.2, "Whittier Narrows-01", 1987, "La Crescenta - New York", 5.99, Reverse Oblique, 19.28, 26.04, 411.55, 0.5, 1.0, RSN648_WHITTIER.A_A-NYA090.AT2, RSN648_WHITTIER.A_A-NYA180.AT2 , RSN648_WHITTIER.A_A-NYA-UP.AT2  
49, SRSS, 649, -, 1.0, -, 5.2, 10.9, 0.2, "Whittier Narrows-01", 1987, "La Habra - Briarcliff", 5.99, Reverse Oblique, 14.17, 20.28, 338.27, 0.12, 1.0, RSN649_WHITTIER.A_A-BRC000.AT2, RSN649_WHITTIER.A_A-BRC090.AT2 , RSN649_WHITTIER.A_A-BRC-UP.AT2  
50, SRSS, 650, -, 1.0, -, 3.8, 14.1, 0.2, "Whittier Narrows-01", 1987, "La Puente - Rimgrove Av", 5.99, Reverse Oblique, 10.24, 17.75, 339.52, 0.5, 1.0, RSN650_WHITTIER.A_A-RIM015.AT2, RSN650_WHITTIER.A_A-RIM105.AT2 , RSN650_WHITTIER.A_A-RIM-UP.AT2  
51, SRSS, 654, -, 1.0, -, 8.2, 12.3, 0.1, "Whittier Narrows-01", 1987, "Lawndale - Osage Ave", 5.99, Reverse Oblique, 26.31, 30.04, 311.86, 0.4, 1.0, RSN654_WHITTIER.A_A-LOA092.AT2, RSN654_WHITTIER.A_A-LOA182.AT2 , RSN654_WHITTIER.A_A-LOA-UP.AT2  
52, SRSS, 655, -, 1.0, -, 7.4, 14.0, 0.0, "Whittier Narrows-01", 1987, "Leona Valley #5 - Ritter", 5.99, Reverse Oblique, 56.48, 59.13, 375.22, 0.875, 1.0, RSN655_WHITTIER.A_A-LV5000.AT2, RSN655_WHITTIER.A_A-LV5090.AT2 , RSN655_WHITTIER.A_A-LV5-UP.AT2  
53, SRSS, 656, -, 1.0, -, 6.6, 14.7, 0.0, "Whittier Narrows-01", 1987, "Leona Valley #6", 5.99, Reverse Oblique, 56.97, 59.6, 327.44, 0.875, 1.0, RSN656_WHITTIER.A_A-LV6000.AT2, RSN656_WHITTIER.A_A-LV6090.AT2 , RSN656_WHITTIER.A_A-LV6-UP.AT2  
54, SRSS, 661, -, 1.0, -, 4.9, 11.5, 0.1, "Whittier Narrows-01", 1987, "Mill Creek_ Angeles Nat For", 5.99, Reverse Oblique, 32.36, 36.79, 569.84, 0.6, 1.0, RSN661_WHITTIER.A_A-ANG000.AT2, RSN661_WHITTIER.A_A-ANG090.AT2 , RSN661_WHITTIER.A_A-ANG-UP.AT2  
55, SRSS, 663, -, 1.0, -, 4.1, 9.8, 0.3, "Whittier Narrows-01", 1987, "Mt Wilson - CIT Seis Sta", 5.99, Reverse Oblique, 14.5, 22.73, 680.37, 0.2875, 1.0, RSN663_WHITTIER.A_A-MTW000.AT2, RSN663_WHITTIER.A_A-MTW090.AT2 , RSN663_WHITTIER.A_A-MTW-UP.AT2  
56, SRSS, 664, -, 1.0, -, 5.4, 11.0, 0.3, "Whittier Narrows-01", 1987, "N Hollywood - Coldwater Can", 5.99, Reverse Oblique, 28.37, 33.11, 326.47, 0.3, 1.0, RSN664_WHITTIER.A_A-CWC180.AT2, RSN664_WHITTIER.A_A-CWC270.AT2 , RSN664_WHITTIER.A_A-CWC-UP.AT2  
57, SRSS, 665, -, 1.0, -, 9.1, 17.2, 0.0, "Whittier Narrows-01", 1987, "Newhall - Fire Sta", 5.99, Reverse Oblique, 49.18, 52.2, 269.14, 0.5, 1.0, RSN665_WHITTIER.A_A-NWH180.AT2, RSN665_WHITTIER.A_A-NWH270.AT2 , RSN665_WHITTIER.A_A-NWH-UP.AT2  
58, SRSS, 666, -, 1.0, -, 6.8, 12.3, 0.1, "Whittier Narrows-01", 1987, "Newhall - W Pico Canyon Rd.", 5.99, Reverse Oblique, 55.93, 58.61, 285.93, 0.34, 1.0, RSN666_WHITTIER.A_A-WPI046.AT2, RSN666_WHITTIER.A_A-WPI316.AT2 , RSN666_WHITTIER.A_A-WPI-UP.AT2  
59, SRSS, 667, -, 1.0, -, 9.8, 20.3, 0.2, "Whittier Narrows-01", 1987, "Northridge - 17645 Saticoy St", 5.99, Reverse Oblique, 38.04, 41.69, 280.86, 0.23, 1.0, RSN667_WHITTIER.A_A-STC090.AT2, RSN667_WHITTIER.A_A-STC180.AT2 , RSN667_WHITTIER.A_A-STC-UP.AT2  
60, SRSS, 670, -, 1.0, -, 6.3, 13.0, 0.0, "Whittier Narrows-01", 1987, "Pacific Palisades - Sunset", 5.99, Reverse Oblique, 38.7, 41.32, 191.06, 0.4, 1.0, RSN670_WHITTIER.A_A-SUN190.AT2, RSN670_WHITTIER.A_A-SUN280.AT2 , RSN670_WHITTIER.A_A-SUN-UP.AT2  
61, SRSS, 671, -, 1.0, -, 4.3, 11.3, 0.2, "Whittier Narrows-01", 1987, "Pacoima Kagel Canyon", 5.99, Reverse Oblique, 31.59, 36.12, 508.08, 0.1625, 1.0, RSN671_WHITTIER.A_A-PKC000.AT2, RSN671_WHITTIER.A_A-PKC090.AT2 , RSN671_WHITTIER.A_A-PKC-UP.AT2  
62, SRSS, 672, -, 1.0, -, 6.2, 10.4, 0.2, "Whittier Narrows-01", 1987, "Pacoima Kagel Canyon USC", 5.99, Reverse Oblique, 31.8, 36.29, 323.76, 0.32, 1.0, RSN672_WHITTIER.A_A-KAG045.AT2, RSN672_WHITTIER.A_A-KAG315.AT2 , RSN672_WHITTIER.A_A-KAG-UP.AT2  
63, SRSS, 673, -, 1.0, -, 5.9, 12.6, 0.2, "Whittier Narrows-01", 1987, "Panorama City - Roscoe", 5.99, Reverse Oblique, 32.13, 36.55, 318.16, 0.3, 1.0, RSN673_WHITTIER.A_A-RO2090.AT2, RSN673_WHITTIER.A_A-RO2180.AT2 , RSN673_WHITTIER.A_A-RO2-UP.AT2  
64, SRSS, 683, -, 1.0, -, 2.5, 6.7, 0.4, "Whittier Narrows-01", 1987, "Pasadena - Old House Rd", 5.99, Reverse Oblique, 8.03, 19.17, 397.27, 0.13, 1.0, RSN683_WHITTIER.A_A-OLD000.AT2, RSN683_WHITTIER.A_A-OLD090.AT2 , RSN683_WHITTIER.A_A-OLD-UP.AT2  
65, SRSS, 688, -, 1.0, -, 7.1, 15.7, 0.0, "Whittier Narrows-01", 1987, "Riverside Airport", 5.99, Reverse Oblique, 54.58, 56.48, 389.95, 0.4, 1.0, RSN688_WHITTIER.A_A-RIV180.AT2, RSN688_WHITTIER.A_A-RIV270.AT2 , RSN688_WHITTIER.A_A-RIV-UP.AT2  
66, SRSS, 690, -, 1.0, -, 2.7, 8.3, 0.8, "Whittier Narrows-01", 1987, "San Gabriel - E Grand Ave", 5.99, Reverse Oblique, 0.0, 15.2, 401.37, 0.1, 1.0, RSN690_WHITTIER.A_A-GRN180.AT2, RSN690_WHITTIER.A_A-GRN270.AT2 , RSN690_WHITTIER.A_A-GRN-UP.AT2  
67, SRSS, 691, -, 1.0, -, 3.2, 11.4, 0.3, "Whittier Narrows-01", 1987, "San Marino - SW Academy", 5.99, Reverse Oblique, 1.57, 15.94, 379.43, 0.375, 1.0, RSN691_WHITTIER.A_A-SMA270.AT2, RSN691_WHITTIER.A_A-SMA360.AT2 , RSN691_WHITTIER.A_A-SMA-UP.AT2  
68, SRSS, 692, -, 1.0, -, 1.8, 6.0, 1.3, "Whittier Narrows-01", 1987, "Santa Fe Springs - E.Joslin", 5.99, Reverse Oblique, 11.47, 18.49, 339.06, 0.1, 1.0, RSN692_WHITTIER.A_A-EJS048.AT2, RSN692_WHITTIER.A_A-EJS318.AT2 , RSN692_WHITTIER.A_A-EJS-UP.AT2  
69, SRSS, 694, -, 1.0, -, 3.9, 10.5, 0.5, "Whittier Narrows-01", 1987, "Studio City - Ventura & Coldwater Cyn Av", 5.99, Reverse Oblique, 26.91, 31.06, 400.44, 0.3, 1.0, RSN694_WHITTIER.A_A-CO2092.AT2, RSN694_WHITTIER.A_A-CO2182.AT2 , RSN694_WHITTIER.A_A-CO2-UP.AT2  
70, SRSS, 695, -, 1.0, -, 2.9, 8.8, 0.3, "Whittier Narrows-01", 1987, "Sun Valley - Roscoe Blvd", 5.99, Reverse Oblique, 30.33, 34.99, 320.93, 0.3, 1.0, RSN695_WHITTIER.A_A-RO3000.AT2, RSN695_WHITTIER.A_A-RO3090.AT2 , RSN695_WHITTIER.A_A-RO3-UP.AT2  
71, SRSS, 696, -, 1.0, -, 3.2, 10.3, 0.1, "Whittier Narrows-01", 1987, "Sun Valley - Sunland", 5.99, Reverse Oblique, 26.71, 31.93, 393.67, 0.4, 1.0, RSN696_WHITTIER.A_A-SUL220.AT2, RSN696_WHITTIER.A_A-SUL310.AT2 , RSN696_WHITTIER.A_A-SUL-UP.AT2  
72, SRSS, 697, -, 1.0, -, 5.4, 12.3, 0.1, "Whittier Narrows-01", 1987, "Sunland - Mt Gleason Ave", 5.99, Reverse Oblique, 24.82, 30.37, 402.16, 0.3, 1.0, RSN697_WHITTIER.A_A-GLE180.AT2, RSN697_WHITTIER.A_A-GLE270.AT2 , RSN697_WHITTIER.A_A-GLE-UP.AT2  
73, SRSS, 698, -, 1.0, -, 6.8, 14.8, 0.1, "Whittier Narrows-01", 1987, "Sylmar - Olive View Med FF", 5.99, Reverse Oblique, 38.55, 42.34, 440.54, 0.25, 1.0, RSN698_WHITTIER.A_A-SYL000.AT2, RSN698_WHITTIER.A_A-SYL090.AT2 , RSN698_WHITTIER.A_A-SYL-UP.AT2  
74, SRSS, 699, -, 1.0, -, 7.4, 14.4, 0.0, "Whittier Narrows-01", 1987, "Sylmar - Sayre St", 5.99, Reverse Oblique, 36.64, 40.61, 348.87, 0.33, 1.0, RSN699_WHITTIER.A_A-SAY045.AT2, RSN699_WHITTIER.A_A-SAY315.AT2 , RSN699_WHITTIER.A_A-SAY-UP.AT2  
75, SRSS, 700, -, 1.0, -, 2.8, 6.6, 2.4, "Whittier Narrows-01", 1987, "Tarzana - Cedar Hill", 5.99, Reverse Oblique, 38.24, 41.22, 257.21, 0.2875, 1.0, RSN700_WHITTIER.A_A-TAR000.AT2, RSN700_WHITTIER.A_A-TAR090.AT2 , RSN700_WHITTIER.A_A-TAR-UP.AT2  
76, SRSS, 701, -, 1.0, -, 12.0, 16.5, 0.1, "Whittier Narrows-01", 1987, "Terminal Island - S Seaside", 5.99, Reverse Oblique, 37.67, 40.36, 260.6, 0.2, 1.0, RSN701_WHITTIER.A_A-SSE252.AT2, RSN701_WHITTIER.A_A-SSE342.AT2 , RSN701_WHITTIER.A_A-SSE-UP.AT2  
77, SRSS, 703, -, 1.0, -, 4.2, 9.2, 0.0, "Whittier Narrows-01", 1987, "Vasquez Rocks Park", 5.99, Reverse Oblique, 47.25, 50.39, 996.43, 1.0, 1.0, RSN703_WHITTIER.A_A-VAS000.AT2, RSN703_WHITTIER.A_A-VAS090.AT2 , RSN703_WHITTIER.A_A-VAS-UP.AT2  
78, SRSS, 704, -, 1.0, -, 6.4, 11.3, 0.1, "Whittier Narrows-01", 1987, "Villa Park - Serrano Ave", 5.99, Reverse Oblique, 31.13, 34.34, 416.93, 0.8, 1.0, RSN704_WHITTIER.A_A-SER000.AT2, RSN704_WHITTIER.A_A-SER270.AT2 , RSN704_WHITTIER.A_A-SER-UP.AT2  
79, SRSS, 705, -, 1.0, -, 3.1, 11.4, 0.2, "Whittier Narrows-01", 1987, "West Covina - S Orange Ave", 5.99, Reverse Oblique, 6.42, 16.32, 334.69, 0.22, 1.0, RSN705_WHITTIER.A_A-SOR225.AT2, RSN705_WHITTIER.A_A-SOR315.AT2 , RSN705_WHITTIER.A_A-SOR-UP.AT2  
80, SRSS, 718, -, 1.0, -, 7.3, 15.2, 0.3, "Superstition Hills-01", 1987, "Imperial Valley Wildlife Liquefaction Array", 6.22, strike slip, 17.59, 17.59, 179.0, 0.25, 1.0, RSN718_SUPER.A_A-IVW090.AT2, RSN718_SUPER.A_A-IVW360.AT2 , RSN718_SUPER.A_A-IVW-UP.AT2  
81, SRSS, 942, -, 1.0, -, 9.8, 21.2, 0.2, "Northridge-01", 1994, "Alhambra - Fremont School", 6.69, Reverse, 35.66, 36.77, 549.75, 0.24, 1.0, RSN942_NORTHR_ALH090.AT2, RSN942_NORTHR_ALH360.AT2 , RSN942_NORTHR_ALH-UP.AT2  
82, SRSS, 945, -, 1.0, -, 8.9, 15.5, 0.1, "Northridge-01", 1994, "Anaverde Valley - City R", 6.69, Reverse, 37.67, 38.0, 349.6, 0.2, 1.0, RSN945_NORTHR_ANA090.AT2, RSN945_NORTHR_ANA180.AT2 , RSN945_NORTHR_ANA-UP.AT2  
83, SRSS, 948, -, 1.0, -, 8.3, 17.3, 0.2, "Northridge-01", 1994, "Arcadia - Campus Dr", 6.69, Reverse, 41.11, 41.41, 367.53, 0.25, 1.0, RSN948_NORTHR_CAM009.AT2, RSN948_NORTHR_CAM279.AT2 , RSN948_NORTHR_CAM-UP.AT2  
84, SRSS, 950, -, 1.0, -, 6.9, 13.8, 0.1, "Northridge-01", 1994, "Baldwin Park - N Holly", 6.69, Reverse, 47.72, 47.98, 544.68, 0.3125, 1.0, RSN950_NORTHR_NHO180.AT2, RSN950_NORTHR_NHO270.AT2 , RSN950_NORTHR_NHO-UP.AT2  
85, SRSS, 951, -, 1.0, -, 10.1, 19.8, 0.2, "Northridge-01", 1994, "Bell Gardens - Jaboneria", 6.69, Reverse, 41.27, 44.1, 267.13, 0.4125, 1.0, RSN951_NORTHR_JAB220.AT2, RSN951_NORTHR_JAB310.AT2 , RSN951_NORTHR_JAB-UP.AT2  
86, SRSS, 952, -, 1.0, -, 5.1, 7.7, 3.0, "Northridge-01", 1994, "Beverly Hills - 12520 Mulhol", 6.69, Reverse, 12.39, 18.36, 545.66, 0.1875, 1.0, RSN952_NORTHR_MU2035.AT2, RSN952_NORTHR_MU2125.AT2 , RSN952_NORTHR_MU2-UP.AT2  
87, SRSS, 953, -, 1.0, -, 6.0, 9.3, 4.5, "Northridge-01", 1994, "Beverly Hills - 14145 Mulhol", 6.69, Reverse, 9.44, 17.15, 355.81, 0.15, 1.0, RSN953_NORTHR_MUL009.AT2, RSN953_NORTHR_MUL279.AT2 , RSN953_NORTHR_MUL-UP.AT2  
88, SRSS, 954, -, 1.0, -, 6.1, 10.7, 0.5, "Northridge-01", 1994, "Big Tujunga_ Angeles Nat F", 6.69, Reverse, 19.1, 19.74, 550.11, 0.4125, 1.0, RSN954_NORTHR_TUJ262.AT2, RSN954_NORTHR_TUJ352.AT2 , RSN954_NORTHR_TUJ-UP.AT2  
89, SRSS, 956, -, 1.0, -, 9.9, 18.1, 0.2, "Northridge-01", 1994, "Buena Park - La Palma", 6.69, Reverse, 59.35, 61.96, 270.96, 0.2875, 1.0, RSN956_NORTHR_BPK090.AT2, RSN956_NORTHR_BPK180.AT2 , RSN956_NORTHR_BPK-UP.AT2  
90, SRSS, 957, -, 1.0, -, 5.9, 11.6, 0.3, "Northridge-01", 1994, "Burbank - Howard Rd.", 6.69, Reverse, 15.87, 16.88, 581.93, 0.125, 1.0, RSN957_NORTHR_HOW060.AT2, RSN957_NORTHR_HOW330.AT2 , RSN957_NORTHR_HOW-UP.AT2  
91, SRSS, 959, -, 1.0, -, 6.6, 11.9, 2.8, "Northridge-01", 1994, "Canoga Park - Topanga Can", 6.69, Reverse, 0.0, 14.7, 267.49, 0.125, 1.0, RSN959_NORTHR_CNP106.AT2, RSN959_NORTHR_CNP196.AT2 , RSN959_NORTHR_CNP-UP.AT2  
92, SRSS, 960, -, 1.0, -, 3.2, 6.3, 2.0, "Northridge-01", 1994, "Canyon Country - W Lost Cany", 6.69, Reverse, 11.39, 12.44, 325.6, 0.125, 1.0, RSN960_NORTHR_LOS000.AT2, RSN960_NORTHR_LOS270.AT2 , RSN960_NORTHR_LOS-UP.AT2  
93, SRSS, 961, -, 1.0, -, 10.3, 21.0, 0.1, "Northridge-01", 1994, "Carson - Catskill Ave", 6.69, Reverse, 46.05, 50.38, 305.14, 0.2875, 1.0, RSN961_NORTHR_CAT090.AT2, RSN961_NORTHR_CAT180.AT2 , RSN961_NORTHR_CAT-UP.AT2  
94, SRSS, 962, -, 1.0, -, 14.6, 23.4, 0.2, "Northridge-01", 1994, "Carson - Water St", 6.69, Reverse, 45.44, 49.81, 160.58, 0.225, 1.0, RSN962_NORTHR_WAT180.AT2, RSN962_NORTHR_WAT270.AT2 , RSN962_NORTHR_WAT-UP.AT2  
95, SRSS, 963, -, 1.0, -, 6.7, 9.1, 3.2, "Northridge-01", 1994, "Castaic - Old Ridge Route", 6.69, Reverse, 20.11, 20.72, 450.28, 0.12, 1.0, RSN963_NORTHR_ORR090.AT2, RSN963_NORTHR_ORR360.AT2 , RSN963_NORTHR_ORR-UP.AT2  
96, SRSS, 964, -, 1.0, -, 12.7, 23.0, 0.2, "Northridge-01", 1994, "Compton - Castlegate St", 6.69, Reverse, 42.96, 47.04, 266.9, 0.1625, 1.0, RSN964_NORTHR_CAS000.AT2, RSN964_NORTHR_CAS270.AT2 , RSN964_NORTHR_CAS-UP.AT2  
97, SRSS, 965, -, 1.0, -, 11.1, 19.4, 0.1, "Northridge-01", 1994, "Covina - S Grand Ave", 6.69, Reverse, 57.29, 57.51, 346.62, 0.2875, 1.0, RSN965_NORTHR_GRA074.AT2, RSN965_NORTHR_GRA344.AT2 , RSN965_NORTHR_GRA-UP.AT2  
98, SRSS, 966, -, 1.0, -, 8.5, 17.3, 0.1, "Northridge-01", 1994, "Covina - W Badillo", 6.69, Reverse, 53.21, 53.45, 324.79, 0.25, 1.0, RSN966_NORTHR_BAD000.AT2, RSN966_NORTHR_BAD270.AT2 , RSN966_NORTHR_BAD-UP.AT2  
99, SRSS, 967, -, 1.0, -, 9.1, 18.0, 0.3, "Northridge-01", 1994, "Downey - Birchdale", 6.69, Reverse, 45.68, 48.87, 245.06, 0.35, 1.0, RSN967_NORTHR_BIR090.AT2, RSN967_NORTHR_BIR180.AT2 , RSN967_NORTHR_BIR-UP.AT2  
100, SRSS, 968, -, 1.0, -, 8.0, 17.2, 0.6, "Northridge-01", 1994, "Downey - Co Maint Bldg", 6.69, Reverse, 43.2, 46.74, 271.9, 0.2, 1.0, RSN968_NORTHR_DWN090.AT2, RSN968_NORTHR_DWN360.AT2 , RSN968_NORTHR_DWN-UP.AT2  
101, SRSS, 970, -, 1.0, -, 10.4, 20.1, 0.3, "Northridge-01", 1994, "El Monte - Fairview Av", 6.69, Reverse, 44.51, 44.79, 290.63, 0.1625, 1.0, RSN970_NORTHR_FAI095.AT2, RSN970_NORTHR_FAI185.AT2 , RSN970_NORTHR_FAI-UP.AT2  

 These records were obtained from the NGA-West2 On-Line Ground-Motion Database Tool
 These records are UNSCALED, AS RECORDED
 Filename Extension: 
   ,AT2 = Acceleration
   ,VT2 = Velocity
   ,DT2 = Displacement
 The users of the NGA-West2 databases, flatfiles, models and reports are requested to acknowledge the Pacific Earthquake Engineering Research Center (PEER) in their work and publications.

 -- Scaled Spectra used in Search & Scaling --
Period (sec),Arithmetic Mean pSa (g),Arithmetic Mean + Sigma pSa (g),Arithmetic Mean - Sigma pSa (g),RSN-543 SRSS pSa (g),RSN-544 SRSS pSa (g),RSN-545 SRSS pSa (g),RSN-546 SRSS pSa (g),RSN-589 SRSS pSa (g),RSN-590 SRSS pSa (g),RSN-591 SRSS pSa (g),RSN-592 SRSS pSa (g),RSN-593 SRSS pSa (g),RSN-594 SRSS pSa (g),RSN-596 SRSS pSa (g),RSN-597 SRSS pSa (g),RSN-598 SRSS pSa (g),RSN-599 SRSS pSa (g),RSN-602 SRSS pSa (g),RSN-604 SRSS pSa (g),RSN-605 SRSS pSa (g),RSN-607 SRSS pSa (g),RSN-608 SRSS pSa (g),RSN-611 SRSS pSa (g),RSN-612 SRSS pSa (g),RSN-613 SRSS pSa (g),RSN-614 SRSS pSa (g),RSN-616 SRSS pSa (g),RSN-617 SRSS pSa (g),RSN-618 SRSS pSa (g),RSN-620 SRSS pSa (g),RSN-621 SRSS pSa (g),RSN-622 SRSS pSa (g),RSN-624 SRSS pSa (g),RSN-625 SRSS pSa (g),RSN-626 SRSS pSa (g),RSN-627 SRSS pSa (g),RSN-628 SRSS pSa (g),RSN-629 SRSS pSa (g),RSN-632 SRSS pSa (g),RSN-633 SRSS pSa (g),RSN-634 SRSS pSa (g),RSN-635 SRSS pSa (g),RSN-636 SRSS pSa (g),RSN-637 SRSS pSa (g),RSN-638 SRSS pSa (g),RSN-639 SRSS pSa (g),RSN-640 SRSS pSa (g),RSN-641 SRSS pSa (g),RSN-645 SRSS pSa (g),RSN-646 SRSS pSa (g),RSN-648 SRSS pSa (g),RSN-649 SRSS pSa (g),RSN-650 SRSS pSa (g),RSN-654 SRSS pSa (g),RSN-655 SRSS pSa (g),RSN-656 SRSS pSa (g),RSN-661 SRSS pSa (g),RSN-663 SRSS pSa (g),RSN-664 SRSS pSa (g),RSN-665 SRSS pSa (g),RSN-666 SRSS pSa (g),RSN-667 SRSS pSa (g),RSN-670 SRSS pSa (g),RSN-671 SRSS pSa (g),RSN-672 SRSS pSa (g),RSN-673 SRSS pSa (g),RSN-683 SRSS pSa (g),RSN-688 SRSS pSa (g),RSN-690 SRSS pSa (g),RSN-691 SRSS pSa (g),RSN-692 SRSS pSa (g),RSN-694 SRSS pSa (g),RSN-695 SRSS pSa (g),RSN-696 SRSS pSa (g),RSN-697 SRSS pSa (g),RSN-698 SRSS pSa (g),RSN-699 SRSS pSa (g),RSN-700 SRSS pSa (g),RSN-701 SRSS pSa (g),RSN-703 SRSS pSa (g),RSN-704 SRSS pSa (g),RSN-705 SRSS pSa (g),RSN-718 SRSS pSa (g),RSN-942 SRSS pSa (g),RSN-945 SRSS pSa (g),RSN-948 SRSS pSa (g),RSN-950 SRSS pSa (g),RSN-951 SRSS pSa (g),RSN-952 SRSS pSa (g),RSN-953 SRSS pSa (g),RSN-954 SRSS pSa (g),RSN-956 SRSS pSa (g),RSN-957 SRSS pSa (g),RSN-959 SRSS pSa (g),RSN-960 SRSS pSa (g),RSN-961 SRSS pSa (g),RSN-962 SRSS pSa (g),RSN-963 SRSS pSa (g),RSN-964 SRSS pSa (g),RSN-965 SRSS pSa (g),RSN-966 SRSS pSa (g),RSN-967 SRSS pSa (g),RSN-968 SRSS pSa (g),RSN-970 SRSS pSa (g)
