
 PEER Ground Motion Database, Time Series Search Report -- NGA-West2 -- 2021-03-29


 -- Summary of PEER Ground Motion Database Search Criteria --
Magnitude Min:, -1.0e-06
Magnitude Max:, 99999
Rrup Min (km):, -1.0e-06
Rrup Max (km):, 99999
Rjb Min (km):, -1.0e-06
Rjb Max (km):, 99999
Vs30 Min (m/sec):, -1.0e-06
Vs30 Max (m/sec):, 99999
D9-95 Min (sec):, -1.0e-06
D9-95 Max (sec):, 99999
Scale Factor Min:, -1.0e-06
Scale Factor Max:, 99999
Period Array:, 
Weight Array:, 
Record Sequence Number:, 1605,1588,1586,1582,1581,1575,1574,1557,1554,1553,1552,1544,1543,1542,1539,1538,1526,1525,1524,1523,1521,1518,1517,1514,1513,1512,1509,1508,1507,1487,1485,1484,1481,1479,1478,1477,1476,1475,1472,1471,1380,1350,1347,1304,1303,1302,1301,1300,1297,1296,1295,1294,1293,1291,1290,1289,1288,1287,1286,1285,1284,1283,1282,1281,1280,1279,1278,1277,1276,1275,1274,1271,1270,1269,1268,1267,1266,1265,1264,1263,1262,1261,1260,1259,1258,1256,1247,1245,1243,1240,1239,1237,1236,1235,1234,1233,1232,1230,1228,1227,1219,1215,1214,1213,1212,1211,1210,1209,1208,1207,1206,1204,1200,1199,1196,1195,1190,1189,1187,1186,1094,1091,1088,1087,1083,1082,1080,1077,1076,1074,1072,1070,1062,1057,1053,1049,1048,1042,1041,1039,1035,1034,1033,1032,1031,1026,1024,1020,1019,1018,1017,1016,1015,1007,1006,1005,1003,1001,999,998,997,996,995,993,992,991,990,989,988,987,985,984,981,978,976,975,974,971,970,968,967,966,965,964,963,962,961,960,959,957,956,954,953,952,951,950,948,945,942,718,705,704,703,701,700,699,698,697,696,695,694,692,691,690,688,683,673,672,671,670,667,666,665,664,663,661,656,655,654,650,649,648,646,645,641,640,639,638,637,636,635,634,633,632,629,628,627,626,625,624,622,621,620,618,617,616,614,613,612,611,608,607,605,604,602,599,598,597,596,594,593,592,591,590,589,546,545,544,543
Earthquake Name:, 
Station Name:, 
User-Defined Maximum Number of Records:, 
Pulse:, 1
Damping Ratio:, 0.05
Scaling Method:, No Scaling
Suite Average:, Arithmetic
Single-Period-Scaling Period (sec):, 
Component:, SRSS
Fault Type:, All Types


 -- Summary of Metadata of Selected Records --
Result ID, Spectral Ordinate, Record Sequence Number, Mean Squared Error, Scale Factor, Tp-Pulse Period (sec), 5-75% Duration (sec), 5-95% Duration (sec), Arias Intensity (m/sec), Earthquake Name, Year, Station Name, Magnitude, Mechanism, Rjb (km), Rrup (km), Vs30 (m/sec), Lowest Useable Frequency (Hz), Initial-search Scale Factor, Horizontal-1 Acc. Filename, Horizontal-2 Acc. Filename, Vertical Acc. Filename
21, SRSS, 612, -, 1.0, -, 7.6, 19.6, 0.1, "Whittier Narrows-01", 1987, "Covina - S Grand Ave", 5.99, Reverse Oblique, 13.58, 20.91, 346.62, 0.13, 1.0, RSN612_WHITTIER.A_A-GRA015.AT2, RSN612_WHITTIER.A_A-GRA105.AT2 , RSN612_WHITTIER.A_A-GRA-UP.AT2  
22, SRSS, 613, -, 1.0, -, 6.2, 15.3, 0.2, "Whittier Narrows-01", 1987, "Covina - W Badillo", 5.99, Reverse Oblique, 9.49, 18.59, 324.79, 0.15, 1.0, RSN613_WHITTIER.A_A-BAD000.AT2, RSN613_WHITTIER.A_A-BAD270.AT2 , RSN613_WHITTIER.A_A-BAD-UP.AT2  
23, SRSS, 614, -, 1.0, -, 1.9, 9.6, 1.0, "Whittier Narrows-01", 1987, "Downey - Birchdale", 5.99, Reverse Oblique, 14.9, 20.79, 245.06, 0.13, 1.0, RSN614_WHITTIER.A_A-BIR090.AT2, RSN614_WHITTIER.A_A-BIR180.AT2 , RSN614_WHITTIER.A_A-BIR-UP.AT2  
24, SRSS, 616, -, 1.0, -, 4.2, 11.4, 0.5, "Whittier Narrows-01", 1987, "El Monte - Fairview Av", 5.99, Reverse Oblique, 0.75, 15.67, 290.63, 0.15, 1.0, RSN616_WHITTIER.A_A-FAI095.AT2, RSN616_WHITTIER.A_A-FAI185.AT2 , RSN616_WHITTIER.A_A-FAI-UP.AT2  
25, SRSS, 617, -, 1.0, -, 3.9, 9.2, 0.1, "Whittier Narrows-01", 1987, "Featherly Park - Maint", 5.99, Reverse Oblique, 35.04, 37.92, 367.54, 0.75, 1.0, RSN617_WHITTIER.A_A-FEA000.AT2, RSN617_WHITTIER.A_A-FEA090.AT2 , RSN617_WHITTIER.A_A-FEA-UP.AT2  
26, SRSS, 618, -, 1.0, -, 9.9, 18.2, 0.1, "Whittier Narrows-01", 1987, "Fountain Valley - Euclid", 5.99, Reverse Oblique, 36.69, 39.45, 270.54, 0.6, 1.0, RSN618_WHITTIER.A_A-EUC022.AT2, RSN618_WHITTIER.A_A-EUC292.AT2 , RSN618_WHITTIER.A_A-EUC-UP.AT2  
27, SRSS, 620, -, 1.0, -, 2.9, 7.4, 0.4, "Whittier Narrows-01", 1987, "Glendale - Las Palmas", 5.99, Reverse Oblique, 14.68, 22.82, 371.07, 0.4, 1.0, RSN620_WHITTIER.A_A-GLP177.AT2, RSN620_WHITTIER.A_A-GLP267.AT2 , RSN620_WHITTIER.A_A-GLP-UP.AT2  
28, SRSS, 621, -, 1.0, -, 4.1, 12.7, 0.1, "Whittier Narrows-01", 1987, "Glendora - N Oakbank", 5.99, Reverse Oblique, 13.67, 22.11, 362.31, 0.5, 1.0, RSN621_WHITTIER.A_A-OAK080.AT2, RSN621_WHITTIER.A_A-OAK170.AT2 , RSN621_WHITTIER.A_A-OAK-UP.AT2  
29, SRSS, 622, -, 1.0, -, 3.2, 11.4, 0.2, "Whittier Narrows-01", 1987, "Hacienda Heights - Colima", 5.99, Reverse Oblique, 9.6, 17.39, 337.0, 0.2, 1.0, RSN622_WHITTIER.A_A-COM140.AT2, RSN622_WHITTIER.A_A-COM230.AT2 , RSN622_WHITTIER.A_A-COM-UP.AT2  
30, SRSS, 624, -, 1.0, -, 11.1, 23.2, 0.0, "Whittier Narrows-01", 1987, "Huntington Beach - Lake St", 5.99, Reverse Oblique, 42.16, 44.58, 315.52, 0.25, 1.0, RSN624_WHITTIER.A_A-HNT270.AT2, RSN624_WHITTIER.A_A-HNT360.AT2 , RSN624_WHITTIER.A_A-HNT-UP.AT2  
