,mainshock_aferchock_horizontal1,horizontal_1_filename,dt_sequence_horizontal1,npt_sequence_horizontal1,dt_mainshock_horizontal1,npt_mainshock_horizontal1,dt_aftershock_horizontal1,npt_aftershock_horizontal1,rsn_mainshock_horizontal1,rsn_aftershock_horizontal1,mainshock_aferchock_horizontal2,horizontal_2_filename,dt_sequence_horizontal2,npt_sequence_horizontal2,dt_mainshock_horizontal2,npt_mainshock_horizontal2,dt_aftershock_horizontal2,npt_aftershock_horizontal2,rsn_mainshock_horizontal2,rsn_aftershock_horizontal2
42,Q:\My Drive\PhD Program\Research\Thesis\Analysis Methods\Groundmotions\Sequences\595.0_3687.0_01.g3,595.0_3687.0_01.g3,0.005,12883,0.005,6852,0.005,5231,595.0,3687.0,Q:\My Drive\PhD Program\Research\Thesis\Analysis Methods\Groundmotions\Sequences\595.0_3687.0_02.g3,595.0_3687.0_02.g3,0.005,12885,0.005,6853,0.005,5232,595.0,3687.0
43,Q:\My Drive\PhD Program\Research\Thesis\Analysis Methods\Groundmotions\Sequences\598.0_3689.0_01.g3,598.0_3689.0_01.g3,0.005,11424,0.005,6182,0.005,4442,598.0,3689.0,Q:\My Drive\PhD Program\Research\Thesis\Analysis Methods\Groundmotions\Sequences\598.0_3689.0_02.g3,598.0_3689.0_02.g3,0.005,11427,0.005,6182,0.005,4445,598.0,3689.0
44,Q:\My Drive\PhD Program\Research\Thesis\Analysis Methods\Groundmotions\Sequences\599.0_3690.0_01.g3,599.0_3690.0_01.g3,0.005,11166,0.005,5519,0.005,4847,599.0,3690.0,Q:\My Drive\PhD Program\Research\Thesis\Analysis Methods\Groundmotions\Sequences\599.0_3690.0_02.g3,599.0_3690.0_02.g3,0.005,11165,0.005,5518,0.005,4847,599.0,3690.0
45,Q:\My Drive\PhD Program\Research\Thesis\Analysis Methods\Groundmotions\Sequences\602.0_3692.0_01.g3,602.0_3692.0_01.g3,0.005,12901,0.005,7462,0.005,4639,602.0,3692.0,Q:\My Drive\PhD Program\Research\Thesis\Analysis Methods\Groundmotions\Sequences\602.0_3692.0_02.g3,602.0_3692.0_02.g3,0.005,12906,0.005,7462,0.005,4644,602.0,3692.0
46,Q:\My Drive\PhD Program\Research\Thesis\Analysis Methods\Groundmotions\Sequences\608.0_3697.0_01.g3,608.0_3697.0_01.g3,0.005,11262,0.005,5931,0.005,4531,608.0,3697.0,Q:\My Drive\PhD Program\Research\Thesis\Analysis Methods\Groundmotions\Sequences\608.0_3697.0_02.g3,608.0_3697.0_02.g3,0.005,11263,0.005,5933,0.005,4530,608.0,3697.0
47,Q:\My Drive\PhD Program\Research\Thesis\Analysis Methods\Groundmotions\Sequences\611.0_3698.0_01.g3,611.0_3698.0_01.g3,0.005,11690,0.005,6229,0.005,4661,611.0,3698.0,Q:\My Drive\PhD Program\Research\Thesis\Analysis Methods\Groundmotions\Sequences\611.0_3698.0_02.g3,611.0_3698.0_02.g3,0.005,11686,0.005,6232,0.005,4654,611.0,3698.0
48,Q:\My Drive\PhD Program\Research\Thesis\Analysis Methods\Groundmotions\Sequences\613.0_3700.0_01.g3,613.0_3700.0_01.g3,0.005,11246,0.005,6172,0.005,4274,613.0,3700.0,Q:\My Drive\PhD Program\Research\Thesis\Analysis Methods\Groundmotions\Sequences\613.0_3700.0_02.g3,613.0_3700.0_02.g3,0.005,11262,0.005,6174,0.005,4288,613.0,3700.0
49,Q:\My Drive\PhD Program\Research\Thesis\Analysis Methods\Groundmotions\Sequences\614.0_3701.0_01.g3,614.0_3701.0_01.g3,0.005,10456,0.005,5722,0.005,3934,614.0,3701.0,Q:\My Drive\PhD Program\Research\Thesis\Analysis Methods\Groundmotions\Sequences\614.0_3701.0_02.g3,614.0_3701.0_02.g3,0.005,10458,0.005,5720,0.005,3938,614.0,3701.0
50,Q:\My Drive\PhD Program\Research\Thesis\Analysis Methods\Groundmotions\Sequences\615.0_709.0_01.g3,615.0_709.0_01.g3,0.005,13198,0.005,7999,0.005,4399,615.0,709.0,Q:\My Drive\PhD Program\Research\Thesis\Analysis Methods\Groundmotions\Sequences\615.0_709.0_02.g3,615.0_709.0_02.g3,0.005,13199,0.005,8000,0.005,4399,615.0,709.0
51,Q:\My Drive\PhD Program\Research\Thesis\Analysis Methods\Groundmotions\Sequences\616.0_3702.0_01.g3,616.0_3702.0_01.g3,0.005,10696,0.005,5646,0.005,4250,616.0,3702.0,Q:\My Drive\PhD Program\Research\Thesis\Analysis Methods\Groundmotions\Sequences\616.0_3702.0_02.g3,616.0_3702.0_02.g3,0.005,10698,0.005,5650,0.005,4248,616.0,3702.0
